id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg
8bd4200561c77a62,Ketlen Souza,Esquentadinha,17,6,0,160.02,52.16,160.02,Orthodox,"Aug 18, 1994",4.11,57,3.89,53,0.45,13,53,0.2
c0d5c0c95c59050b,Ariane Carnelossi,Sorriso,15,5,0,157.48,52.16,154.94,Orthodox,"Nov 17, 1992",2.68,38,4.69,43,1.06,50,22,0.2
ac026518a9b4dc0f,Jordan Leavitt,The Monkey King,13,4,0,175.26,65.77,180.34,Southpaw,"Jun 02, 1995",2.18,58,1.57,59,2.97,30,30,1.2
787bb1f087ccff8a,Ciryl Gane,Bon Gamin,14,2,0,193.04,112.04,205.74,Orthodox,"Apr 12, 1990",5.4,61,2.31,60,0.66,23,47,0.6
faf317c665546a36,Santiago Luna,BorderBoy,8,1,0,175.26,61.23,187.96,Orthodox,"Aug 06, 2004",4.74,53,2.76,67,2.3,71,57,0.9
af9efbfd63d39734,Chelsea Chandler,,7,4,0,172.72,61.23,172.72,Southpaw,"Nov 23, 1990",3.52,45,4.27,40,0.81,60,25,0.3
01641ba5df0c69b0,Gabriel Bonfim,Marretinha,20,1,0,185.42,77.11,182.88,Orthodox,"Aug 20, 1997",4.76,47,3.61,64,2.57,53,78,1.0
35673bf5204524ee,Bo Nickal,,9,1,0,185.42,83.91,193.04,Southpaw,"Jan 14, 1996",3.36,61,1.93,60,3.12,57,100,2.3
d9c6f19f958643e9,Bryce Mitchell,Thug Nasty,19,4,0,177.8,61.23,177.8,Southpaw,"Oct 04, 1994",2.19,59,1.51,58,3.12,36,38,1.3
955da1675ad58a50,Josh Hokit,,10,0,0,185.42,106.59,185.42,Orthodox,"Nov 12, 1997",9.29,64,5.28,48,3.73,47,77,0.4
5ef94841c4bc3f86,Edgar Chairez,Puro Chicali,14,6,0,170.18,56.7,180.34,Orthodox,"Jan 27, 1996",3.76,46,4.71,46,0.0,0,47,1.4
b1b0729d27936f2f,Belal Muhammad,Remember the Name,24,6,0,180.34,77.11,182.88,Orthodox,"Jul 09, 1988",4.36,42,3.92,55,1.98,35,90,0.1
b50a426a33da0012,Sean O'Malley,Suga,20,3,0,180.34,61.23,182.88,Switch,"Oct 24, 1994",5.98,60,3.4,59,0.23,42,60,0.2
2f181c0467965b98,Brendan Allen,All In,27,7,0,187.96,83.91,190.5,Orthodox,"Dec 28, 1995",3.75,52,3.78,47,1.52,41,57,1.1
